step,total_loss,kd_loss,ce_loss
1000,5.579,5.279,6.280
2000,4.402,3.955,5.444
3000,4.041,3.568,5.146
4000,3.718,3.226,4.868
5000,3.446,2.944,4.616
6000,3.246,2.737,4.435
7000,3.114,2.595,4.325
8000,2.998,2.476,4.214
9000,2.913,2.382,4.151
10000,2.791,2.268,4.012
11000,2.730,2.202,3.962
12000,2.675,2.152,3.896
13000,2.652,2.124,3.883
14000,2.626,2.100,3.855
15000,2.592,2.074,3.801
